sex;age;Medu;Fedu;traveltime;studytime;failures;schoolsup;internet;higher;activities;absences;freetime;goout;Walc;G1;G2;G3
F;18;4;4;2;2;0;yes;no;yes;no;6;3;4;1;5;6;6
F;17;1;1;1;2;0;no;yes;yes;no;4;3;3;1;5;5;6
F;15;1;1;1;2;3;yes;yes;yes;no;10;3;2;3;7;8;10
F;15;4;2;1;3;0;no;yes;yes;yes;2;2;2;1;15;14;15
F;16;3;3;1;2;0;no;no;yes;no;4;3;2;2;6;10;10
M;16;4;3;1;2;0;no;yes;yes;yes;10;4;2;2;15;15;15
M;16;2;2;1;2;0;no;yes;yes;no;0;4;4;1;12;12;11
F;17;4;4;2;2;0;yes;no;yes;no;6;1;4;1;6;5;6
M;15;3;2;1;2;0;no;yes;yes;no;0;2;2;1;16;18;19
M;15;3;4;1;2;0;no;yes;yes;yes;0;5;1;1;14;15;15
F;15;4;4;1;2;0;no;yes;yes;no;0;3;3;2;10;8;9
F;15;2;1;3;3;0;no;yes;yes;yes;4;2;2;1;10;12;12
M;15;4;4;1;1;0;no;yes;yes;yes;2;3;3;3;14;14;14
M;15;4;3;2;2;0;no;yes;yes;no;2;4;3;2;10;10;11
M;15;2;2;1;3;0;no;yes;yes;no;0;5;2;1;14;16;16
F;16;4;4;1;1;0;no;yes;yes;no;4;4;4;2;14;14;14
F;16;4;4;1;3;0;no;yes;yes;yes;6;2;3;2;13;14;14
F;16;3;3;3;2;0;yes;no;yes;yes;4;3;2;1;8;10;10
M;17;3;2;1;1;3;no;yes;yes;yes;16;5;5;4;6;5;5
M;16;4;3;1;1;0;no;yes;yes;yes;4;1;3;3;8;10;10
M;15;4;3;1;2;0;no;yes;yes;no;0;4;1;1;13;14;15
M;15;4;4;1;1;0;no;yes;yes;no;0;4;2;1;12;15;15
M;16;4;2;1;2;0;no;yes;yes;yes;2;5;1;3;15;15;16
M;16;2;2;2;2;0;no;yes;yes;yes;0;4;4;4;13;13;12
F;15;2;4;1;3;0;yes;yes;yes;yes;2;3;2;1;10;9;8
F;16;2;2;1;1;2;no;yes;yes;no;14;2;2;3;6;9;8
M;15;2;2;1;1;0;no;yes;yes;no;2;2;2;2;12;12;11
M;15;4;2;1;1;0;no;yes;yes;no;4;2;4;4;15;16;15
M;16;3;4;1;2;0;yes;yes;yes;yes;4;3;3;1;11;11;11
M;16;4;4;1;2;0;no;yes;yes;yes;16;4;5;5;10;12;11
M;15;4;4;1;2;0;no;yes;yes;no;0;4;2;4;9;11;12
M;15;4;4;2;2;0;no;yes;yes;yes;0;3;1;1;17;16;17
M;15;4;3;1;2;0;no;yes;yes;yes;0;5;2;1;17;16;16
M;15;3;3;1;2;0;no;yes;yes;yes;0;3;2;1;8;10;12
